File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings
WillowA20_f_bb_mono	T	Internal	g	m	1765.638	1765.697	LITTLE	1765.578	1765.827	IH	1765.608	1765.638	AH	1765.697	1765.728	1.548	3.23		
WillowA20_f_bb_mono	T	Internal	g	m	1816.397	1816.426	LITTLE	1816.247	1816.566	IH	1816.366	1816.397	AH	1816.426	1816.456	1.321	4.542		
WillowA20_f_bb_mono	T	Internal	g	m	2149.385	2149.415	LITTLE	2149.244	2149.514	IH	2149.355	2149.385	AH	2149.415	2149.444	1.277	3.915		
WillowA20_f_bb_mono	T	Internal	g	m	2339.576	2339.605	LITTLE	2339.466	2339.705	IH	2339.545	2339.576	AH	2339.605	2339.655	0.927	5.394		
WillowA20_f_bb_mono	T	Internal	t	m	406.58	406.67	METAL	406.271	406.971	EH	406.361	406.58	AH	406.67	406.86	1.907	3.146		
WillowA20_f_bb_mono	T	Internal	t	m	216.678	216.768	NAUGHTIER	216.488	216.857	AO	216.528	216.678	IY	216.768	216.828	1.397	5.011		
WillowA20_f_bb_mono	T	Internal	t	m	339.802	339.892	NAUGHTIER	339.582	340.033	AO	339.642	339.802	IY	339.892	339.972	1.457	4.118		
WillowA20_f_bb_mono	T	Internal	g	m	2562.656	2562.686	NOTICED	2562.456	2562.846	OW	2562.556	2562.656	AH	2562.686	2562.736	1.908	4.193		
WillowA20_f_bb_mono	T	Internal	g	m	2564.169	2564.199	NOTICED	2564.01	2564.419	OW	2564.099	2564.169	AH	2564.199	2564.269	1.981	3.029		
WillowA20_f_bb_mono	T	Internal	g	m	2574.584	2574.614	NOTICED	2574.414	2574.834	OW	2574.504	2574.584	AH	2574.614	2574.695	2.032	4.429		
WillowA20_f_bb_mono	T	Internal	g	m	2638.236	2638.266	NOTICED	2638.056	2638.456	OW	2638.106	2638.236	AH	2638.266	2638.316	1.785	2.801		
WillowA20_f_bb_mono	T	Internal	g	m	1341.883	1341.914	NOTICES	1341.694	1342.163	OW	1341.764	1341.883	AH	1341.914	1341.953	1.842	4.886		
WillowA20_f_bb_mono	T	Internal	t	m	2953.331	2953.361	NOTICING	2953.12	2953.64	OW	2953.19	2953.331	AH	2953.361	2953.391	1.735	4.611		
WillowA20_f_bb_mono	T	Internal	g	m	138.269	138.339	PRETTY	138.169	138.509	IH	138.239	138.269	IY	138.339	138.509	1.821	3.844		
WillowA20_f_bb_mono	T	Internal	g	m	138.864	138.894	PRETTY	138.744	138.964	IH	138.833	138.864	IY	138.894	138.964	1.834	2.726		
WillowA20_f_bb_mono	T	Internal	g	m	1646.867	1646.897	PRETTY	1646.747	1646.987	IH	1646.836	1646.867	IY	1646.897	1646.987	2.276	2.636		
WillowA20_f_bb_mono	T	Internal	g	m	2278.694	2278.743	PRETTY	2278.493	2278.884	IH	2278.654	2278.694	IY	2278.743	2278.884	1.269	4.728		
WillowA20_f_bb_mono	T	Internal	t	b	1807.647	1807.727	REALITY	1807.238	1807.798	AH	1807.618	1807.647	IY	1807.727	1807.798	1.983	5.043	IY realised much lower- more like EH	
WillowA20_f_bb_mono	T	Internal	g	b	2434.153	2434.182	SALUTING	2433.893	2434.312	UW	2434.103	2434.153	IH	2434.182	2434.223	2.237	2.682		
WillowA20_f_bb_mono	T	Internal	0	b	221.193	221.223	SHOUTED	220.943	221.273	AW	221.043	221.193	AH	221.223	221.253	1.412	4.249		
WillowA20_f_bb_mono	T	Internal	t	b	225.814	225.885	SHOUTED	225.504	225.944	AW	225.645	225.814	AH	225.885	225.914	1.713	3.503	stress	
WillowA20_f_bb_mono	T	Internal	g	b	1746.075	1746.105	SPOTIFY	1745.896	1746.416	AA	1745.985	1746.075	IH	1746.105	1746.136	1.832	4.367		
WillowA20_f_bb_mono	T	Internal	g	b	1750.794	1750.824	SPOTIFY	1750.654	1751.074	AA	1750.714	1750.794	IH	1750.824	1750.854	2.12	4.245		
WillowA20_f_bb_mono	T	Internal	g	b	1752.034	1752.064	SPOTIFY	1751.834	1752.274	AA	1751.913	1752.034	IH	1752.064	1752.094	2.419	4.134		
WillowA20_f_bb_mono	T	End	g		963.218	963.248	THAT'D	963.048	963.377	AE	963.128	963.218	AH	963.248	963.308	1.187	3.37		
WillowA20_f_bb_mono	T	End	g		773.983	774.013	THAT'LL	773.893	774.073	AE	773.922	773.983	AH	774.013	774.043	1.334	5.247		
WillowA20_f_bb_mono	T	Internal	g	b	383.719	383.759	THREATENED	383.439	383.878	EH	383.588	383.719	AH	383.759	383.788	1.36	4.412		
WillowA20_f_bb_mono	T	Internal	t	m	1583.947	1584.077	TITLE	1583.637	1584.268	AY	1583.767	1583.947	AH	1584.077	1584.127	2.194	2.279		
WillowA20_f_bb_mono	T	Internal	g	m	1588.033	1588.083	TITLE	1587.963	1588.313	AY	1587.993	1588.033	AH	1588.083	1588.113	1.309	4.584		
WillowA20_f_bb_mono	T	Internal	g	b	2042.207	2042.237	TREATING	2041.997	2042.387	IY	2042.097	2042.207	IH	2042.237	2042.267	1.181	4.234		
WillowA20_f_bb_mono	T	Internal	t	b	550.626	550.656	UNIVERSITIES	550.226	550.826	AH	550.596	550.626	IY	550.656	550.696	1.32	7.576		
WillowA20_f_bb_mono	T	Internal	g	b	44.009	44.039	UNIVERSITY	43.469	44.079	AH	43.98	44.009	IY	44.039	44.079	1.502	6.658		
WillowA20_f_bb_mono	T	Internal	t	b	349.271	349.311	UNIVERSITY	348.722	349.361	AH	349.242	349.271	IY	349.311	349.361	1.741	6.318		
WillowA20_f_bb_mono	T	Internal	t	b	688.971	689	UNIVERSITY	688.48	689.03	AH	688.941	688.971	IY	689	689.03	1.767	5.093		
WillowA20_f_bb_mono	T	Internal	t	b	737.467	737.497	UNIVERSITY	736.866	737.527	AH	737.396	737.467	IY	737.497	737.527	1.8	5.556		
WillowA20_f_bb_mono	T	Internal	t	b	744.812	744.842	UNIVERSITY	744.172	744.913	AH	744.732	744.812	IY	744.842	744.913	2.352	4.252		
WillowA20_f_bb_mono	T	Internal	t	b	1386.281	1386.311	UNIVERSITY	1385.681	1386.342	AH	1386.251	1386.281	IY	1386.311	1386.342	4.195	1.669		
WillowA20_f_bb_mono	T	Internal	t	b	1392.841	1392.871	UNIVERSITY	1392.231	1392.901	AH	1392.811	1392.841	IY	1392.871	1392.901	1.734	5.767		
WillowA20_f_bb_mono	T	Internal	f?	b	1399.946	1399.976	UNIVERSITY	1399.435	1400.005	AH	1399.916	1399.946	IY	1399.976	1400.005	1.53	7.19		
WillowA20_f_bb_mono	T	Internal	t	b	2051.795	2051.825	UNIVERSITY	2051.245	2051.854	AH	2051.765	2051.795	IY	2051.825	2051.854	1.731	6.355		
WillowA20_f_bb_mono	T	Internal	f	b	2560.35	2560.381	UNIVERSITY	2559.64	2560.411	AH	2560.25	2560.35	IY	2560.381	2560.411	2.571	3.501		
WillowA20_f_bb_mono	T	Internal	t	b	2716.674	2716.834	WAITING	2716.394	2717.143	EY	2716.514	2716.674	IH	2716.834	2716.963	2.484	1.61		
WillowA20_f_bb_mono	T	Internal	g	b	2857.023	2857.053	WAITING	2856.803	2857.113	EY	2856.903	2857.023	IH	2857.053	2857.083	2.248	2.669		
WillowA20_f_bb_mono	T	Internal	t	b	2984.961	2985.032	WAITING	2984.731	2985.151	EY	2984.821	2984.961	IH	2985.032	2985.062	2.041	4.41		
WillowA20_f_bb_mono	T	Internal	0	b	262.281	262.312	WHATEVER	262.201	262.472	AH	262.242	262.281	EH	262.312	262.362	1.022	6.849		
WillowA20_f_bb_mono	T	Internal	0	b	266.876	266.906	WHATEVER	266.806	267.086	AH	266.836	266.876	EH	266.906	266.976	1.169	6.843		
WillowA20_f_bb_mono	T	End	g		311.841	311.88	((BIT))	311.74	311.88	IH	311.76	311.841	OW	311.88	311.93	0.76	10.526		
WillowA20_f_bb_mono	T	End	g		872.933	872.963	ABOUT	872.634	872.963	AW	872.723	872.933	AH	872.963	872.994	1.55	5.161		
