File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings																																		
Bill_m53_BB2015	T	Internal	t	b	1291.258	1291.397	BUTTING	1291.147	1291.467	AH	1291.217	1291.258	IH	1291.397	1291.437	6.174	1.134																																				
Bill_m53_BB2015	T	End	0		335.754	335.784	IT	335.695	335.784	AH	335.695	335.754	AH	335.784	335.814	1.65	6.061																																				
Bill_m53_BB2015	T	End	t		337.882	338.002	BIT	337.783	338.002	IH	337.842	337.882	AH	338.002	338.033	0.87	8.046																																				
Bill_m53_BB2015	T	End	g		338.252	338.283	THAT	338.062	338.283	AE	338.092	338.252	AH	338.283	338.313	1.15	6.087																																				
Bill_m53_BB2015	T	End	g		339.263	339.293	NOT	339.063	339.293	AO	339.142	339.263	AA	339.293	339.343	1.87	5.882																																				
Bill_m53_BB2015	T	End	f		341.544	341.574	IT	341.505	341.574	IH	341.505	341.544	AH	341.574	341.704	1.402	3.566																																				
Bill_m53_BB2015	T	End	f		343.055	343.095	GET	342.924	343.095	IH	342.964	343.055	IH	343.095	343.285	1.13	6.195																																				
Bill_m53_BB2015	T	End	g		351.071	351.1	IT	351.031	351.1	IH	351.031	351.071	AH	351.1	351.13	1.27	6.299																																				
Bill_m53_BB2015	T	End	g		352.311	352.401	PUT	352.151	352.401	UH	352.241	352.311	AE	352.401	352.541	1.861	3.761																																				
Bill_m53_BB2015	T	End	f		355.925	355.965	IT	355.826	355.965	AH	355.826	355.925	AH	355.965	356.005	1.36	2.941																																				
Bill_m53_BB2015	T	Internal	t	b	476.211	476.321	CHARITY	475.881	476.362	AH	476.152	476.211	IY	476.321	476.362	1.93	6.218																																				
Bill_m53_BB2015	T	End	g		362.433	362.463	IT	362.403	362.463	AH	362.403	362.433	AH	362.463	362.493	1.17	8.547																																				
Bill_m53_BB2015	T	Internal	t	b	546.188	546.358	CHARITY	545.948	546.418	AH	546.158	546.188	IY	546.358	546.418	1.62	6.173																																				
Bill_m53_BB2015	T	End	g		392.008	392.038	BUT	391.878	392.038	AH	391.938	392.008	AY	392.038	392.078	1.019	8.832																																				
Bill_m53_BB2015	T	Internal	t	b	551.649	551.749	CHARITY	551.378	551.779	AH	551.588	551.649	IY	551.749	551.779	1.23	7.317																																				
Bill_m53_BB2015	T	Internal	t	m	1395.949	1396.06	COTTAGES	1395.77	1396.33	AA	1395.91	1395.949	IH	1396.06	1396.109	1.61	4.969																																				
Bill_m53_BB2015	T	End	g		408.493	408.533	THAT	408.364	408.533	AH	408.453	408.493	AH	408.533	408.563	0.9	7.778																																				
Bill_m53_BB2015	T	Internal	t	b	2120.49	2120.56	EIGHTY	2120.36	2120.59	EY	2120.36	2120.49	IY	2120.56	2120.59	1.46	4.795																																				
Bill_m53_BB2015	T	End	f		416.877	416.907	BUT	416.798	416.907	AH	416.827	416.877	AY	416.907	416.978	1.692	3.546																																				
Bill_m53_BB2015	T	Internal	t	b	2687.677	2687.767	EIGHTY	2687.567	2687.867	EY	2687.567	2687.677	IY	2687.767	2687.867	1.312	5.335																																				
Bill_m53_BB2015	T	End	g		436.989	437.018	IT	436.939	437.018	IH	436.939	436.989	AH	437.018	437.078	0.82	8.537																																				
Bill_m53_BB2015	T	Internal	t	b	1858.513	1858.562	EXECUTIVE	1858.122	1858.622	AH	1858.473	1858.513	IH	1858.562	1858.592	1.17	8.547																																				
Bill_m53_BB2015	T	End	t		449.35	449.541	BUT	449.13	449.541	AH	449.2	449.35	AH	449.541	449.721	1.906	4.197																																				
Bill_m53_BB2015	T	Internal	g	b	1254.29	1254.32	FRIGHTENING	1254.01	1254.57	AY	1254.14	1254.29	AH	1254.32	1254.35	3.56	2.247																																				
Bill_m53_BB2015	T	Internal	f	b	2379.955	2379.984	GETTING	2379.845	2380.065	EH	2379.905	2379.955	IH	2379.984	2380.034	1.56	7.051																																				
Bill_m53_BB2015	T	Internal		b	31.051	31.082	GOTTA	30.952	31.112	AA	30.992	31.051	AH	31.082	31.112	1.05	7.619																																				
Bill_m53_BB2015	T	End	0		486.657	486.687	WHAT	486.497	486.687	AH	486.627	486.657	AH	486.687	486.797	1.56	4.487																																				
Bill_m53_BB2015	T	End	t		488.564	488.753	BUT	488.344	488.753	AH	488.384	488.564	AH	488.753	489.043	2.087	2.396																																				
Bill_m53_BB2015	T	End	g		497.24	497.28	BUT	497	497.28	AH	497.15	497.24	IH	497.28	497.33	2.228	3.142																																				
Bill_m53_BB2015	T	End	g		508.517	508.576	THAT	508.447	508.576	AH	508.477	508.517	IH	508.576	508.647	1.941	4.122																																				
Bill_m53_BB2015	T	End	f		537.482	537.532	IT	537.382	537.532	IH	537.382	537.482	IH	537.532	537.583	1.459	3.427																																				
Bill_m53_BB2015	T	End	f		538.202	538.232	IT	538.152	538.232	IH	538.152	538.202	IH	538.232	538.282	1.521	4.602																																				
Bill_m53_BB2015	T	Internal	f	b	32.25	32.28	GOTTA	32.2	32.31	AA	32.22	32.25	AH	32.28	32.31	1.128	6.206																																				
Bill_m53_BB2015	T	End	g		547.249	547.279	LOT	547.108	547.279	AA	547.188	547.249	AH	547.279	547.309	0.99	8.081																																				
Bill_m53_BB2015	T	End	g		548.419	548.449	LOT	548.319	548.449	AA	548.379	548.419	AH	548.449	548.478	0.93	6.452																																				
Bill_m53_BB2015	T	End	g		550.039	550.069	LOT	549.949	550.069	AA	549.999	550.039	AH	550.069	550.099	1.009	7.929																																				
Bill_m53_BB2015	T	End	g		551.279	551.319	BIT	551.128	551.319	IH	551.218	551.279	AH	551.319	551.349	1.241	7.252																																				
Bill_m53_BB2015	T	Internal	f	b	713.1	713.13	GOTTA	712.98	713.27	AA	713.039	713.1	AH	713.13	713.27	1.262	5.547																																				
Bill_m53_BB2015	T	End	0		553.684	553.754	THAT	553.435	553.754	AE	553.485	553.684	AY	553.754	553.834	1.31	5.344																																				
Bill_m53_BB2015	T	End			554.654	554.694	PUT	554.495	554.694	UH	554.624	554.654	AH	554.694	554.814	1.741	5.169																																				
Bill_m53_BB2015	T	End	t		555.214	555.315	TOILET	554.814	555.315	AH	555.185	555.214	IH	555.315	555.355	1.57	5.732																																				
Bill_m53_BB2015	T	End	t		556.549	556.669	TOILET	556.17	556.669	AH	556.499	556.549	IH	556.669	556.729	1.611	2.483																																				
Bill_m53_BB2015	T	End	g		558.436	558.466	IT	558.405	558.466	IH	558.405	558.436	AE	558.466	558.495	0.731	10.944																																				
Bill_m53_BB2015	T	End	t		561.684	561.875	BUT	561.495	561.875	AH	561.564	561.684	AH	561.875	562.115	1.408	2.841																																				
Bill_m53_BB2015	T	Internal	f	b	1929.124	1929.153	GOTTA	1929.004	1929.184	AA	1929.044	1929.124	AH	1929.153	1929.184	1.201	6.661																																				
Bill_m53_BB2015	T	End	g		568.204	568.234	WHAT	568.064	568.234	AH	568.174	568.204	AY	568.234	568.264	1.01	7.921																																				
Bill_m53_BB2015	T	Internal		b	1932.124	1932.154	GOTTA	1932.074	1932.183	AA	1932.093	1932.124	AH	1932.154	1932.183	1.677	4.77																																				
Bill_m53_BB2015	T	End	g		585.85	585.89	THAT	585.73	585.89	AH	585.77	585.85	AA	585.89	585.96	1.141	6.135																																				
Bill_m53_BB2015	T	End	f		606.182	606.213	GET	606.083	606.213	EH	606.143	606.182	AA	606.213	606.352	1.399	3.574																																				
